,x,y,z,User,Model,Device,gt
94733,-1.685497,-1.072589,9.959755,g,samsungold,samsungold_2,0
26087,-0.48690796,-0.9853363000000002,7.573577999999999,e,nexus4,nexus4_1,5
69839,-2.7219086,-1.1943665,10.123947,g,nexus4,nexus4_2,0
114683,-5.975853,0.306454,7.66135,a,samsungold,samsungold_1,4
106495,-1.4759521,0.08106995,10.170563000000001,f,nexus4,nexus4_1,4
113651,-6.253655,1.8962077000000002,14.633360999999999,d,s3,s3_1,5
4851,-2.0436707,2.0413055,9.179138,a,nexus4,nexus4_1,0
73926,-6.503296,-1.0008086999999999,8.786377,c,nexus4,nexus4_1,2
6559,-0.15348816,-1.1003418,7.9506683,i,nexus4,nexus4_2,0
85135,-4.3574470000000005,-0.5374983,4.8817773,h,s3mini,s3mini_1,5
135860,-4.79895,-0.18791199,7.556915299999999,a,nexus4,nexus4_1,0
14649,-5.983017,-0.42193604,8.518386999999999,c,nexus4,nexus4_2,0
121693,-2.5570072999999995,1.2737153,7.4507556,i,s3,s3_1,3
30046,-0.40818787,-1.4776306000000001,8.183945,d,nexus4,nexus4_2,0
51565,-5.5975647,0.6107024999999999,9.788513,a,nexus4,nexus4_1,0
16678,-0.66407776,-0.85873413,10.472671499999999,i,nexus4,nexus4_2,0
45815,-0.45936584,-3.5759277000000003,9.649063,e,nexus4,nexus4_2,3
60437,-2.825158,-0.8619126,9.011775,c,s3,s3_2,4
44385,-0.93134445,1.1121067,8.895657,d,s3mini,s3mini_1,0
40572,-1.5705963,-0.11492168,8.896853,b,s3,s3_2,0
4083,0.5482722,1.2797008,11.344925,f,s3mini,s3mini_1,5
50871,-4.6926355000000015,0.18195933,3.3806129,e,s3,s3_2,2
39376,0.8591919,-1.5340118,9.946808,e,nexus4,nexus4_1,0
18881,-3.0262709,0.2873042,9.289502,d,s3,s3_1,4
27159,-8.058867999999999,-2.3719025,3.9197083,h,nexus4,nexus4_1,2
47290,-4.750037,1.225816,8.274258,h,samsungold,samsungold_1,4
573,-5.9663544,-4.6851807,13.465988000000001,d,nexus4,nexus4_2,5
59197,4.4821167,1.6818695,9.106537,g,nexus4,nexus4_1,1
131179,-5.774814599999999,-1.0342950999999998,6.627150500000001,c,s3,s3_2,2
96035,-1.0974731000000002,-0.19148254,10.982269,f,nexus4,nexus4_1,0
108326,-6.339846,1.0534488000000002,7.1155677,c,s3,s3_1,2
17930,-14.901511,-0.20111294,9.979032499999999,a,s3,s3_2,3
99179,-2.7161255,0.16676329999999998,8.574524,c,nexus4,nexus4_1,5
90000,-6.6757050000000016,2.605896,8.208938999999999,h,nexus4,nexus4_2,2
52441,-4.8745947,0.8619126,8.341399000000001,h,s3,s3_1,4
56339,-0.153227,0.306454,9.959755,a,samsungold,samsungold_2,1
4193,-2.4672248,2.0350714,8.89805,g,s3mini,s3mini_2,4
19815,-2.0363617,-1.1622313999999998,12.8268585,i,nexus4,nexus4_2,5
102690,-7.5081229999999985,0.612908,9.959755,h,samsungold,samsungold_2,3
30444,2.758086,0.612908,9.653300999999999,c,samsungold,samsungold_2,4
37452,-2.0015526,0.58418524,7.0964136,d,s3,s3_2,2
80403,-0.49864197,-3.0760498,8.957564999999997,h,nexus4,nexus4_2,0
56449,-5.10585,0.87179565,7.216324,h,nexus4,nexus4_2,2
17965,3.846285,1.6651672999999998,8.531737,g,s3mini,s3mini_1,1
50252,-2.145178,-0.153227,8.887166,d,samsungold,samsungold_2,5
51511,-3.9839019999999996,1.8387240000000002,5.8226260000000005,h,samsungold,samsungold_2,5
107084,-4.759673,-0.18195933,6.799533,c,s3,s3_1,2
109441,-1.6187744,1.473587,9.174377,f,nexus4,nexus4_1,0
83496,-1.224823,-1.1007843000000002,10.518097000000001,g,nexus4,nexus4_1,0
25653,-3.4088135000000004,-0.2367096,9.677826,d,nexus4,nexus4_1,3
23623,-3.1124623,-1.4748282,12.459425999999999,f,s3,s3_2,5
136209,-1.4519806,0.03152466,11.013016,f,nexus4,nexus4_2,5
68932,-5.9879456,1.0141754,8.078217,a,nexus4,nexus4_1,4
32301,1.559021,-0.035568237,10.133666999999999,h,nexus4,nexus4_1,1
104034,-1.6781158,-0.26364136,9.566939999999999,f,nexus4,nexus4_2,4
31344,-2.528277,0.16280572,10.907983,i,s3,s3_1,0
35432,-2.1452047999999997,-1.2737153,9.461885,b,s3,s3_2,0
135427,-5.234922,2.3044189999999998,7.7093296,h,s3mini,s3mini_1,4
38969,5.5021057,0.6690216,8.689972000000001,i,nexus4,nexus4_1,1
60984,-4.995163,2.3726196,6.6866913,b,nexus4,nexus4_2,2
55586,3.9465332,0.33695984,9.527863,d,nexus4,nexus4_1,1
41278,-0.7926178,1.5811462,9.558608999999999,b,nexus4,nexus4_2,4
96933,-0.6572084,-0.36990416,6.2979474,i,s3mini,s3mini_1,5
71056,-2.5474305,1.9249381999999997,5.5258174,g,s3,s3_1,2
50681,-2.9113493,0.9672575000000001,6.2057709999999995,b,s3,s3_2,2
130335,-2.2122424,1.6567876,7.1921820000000025,g,s3,s3_1,2
111727,-1.9720917000000002,-2.6975708,7.755478,i,nexus4,nexus4_2,3
97981,-1.4331055,-0.25337220000000005,8.461456,i,nexus4,nexus4_1,0
43550,-2.2409727999999998,0.06703765,9.959878999999999,d,s3,s3_1,0
66950,4.137129,-0.306454,5.516172,a,samsungold,samsungold_2,5
131647,-1.685497,1.072589,10.72589,b,samsungold,samsungold_1,2
102712,-0.87609863,-1.785141,10.096771,b,nexus4,nexus4_1,0
49697,-2.135628,1.8674773,9.126697,g,s3,s3_2,4
91841,-6.12908,-0.306454,7.354896000000001,a,samsungold,samsungold_1,4
61931,4.0691223,-0.0879364,9.551666,e,nexus4,nexus4_1,1
16513,8.887166,0.9193620000000001,4.290356,b,samsungold,samsungold_2,1
56179,-10.600937,0.37667847,14.668076000000001,c,nexus4,nexus4_2,2
38158,-2.145178,1.685497,9.500074,b,samsungold,samsungold_2,4
21397,-3.6288300000000002,-0.68496704,8.286301,i,nexus4,nexus4_2,2
77469,-5.506664,0.7278373,13.522451,d,s3,s3_1,5
105255,-5.9473114,0.35406494,6.8854523,h,nexus4,nexus4_2,2
81885,7.5081229999999985,1.8387240000000002,6.435534,a,samsungold,samsungold_2,3
14180,-3.2719421000000004,1.8651581000000002,11.783263999999999,b,nexus4,nexus4_1,5
75790,-2.1260512,1.8962077000000002,9.222465,g,s3,s3_2,4
127045,-8.963891,-1.2545617,8.2169,h,s3,s3_1,2
65728,-0.6356605,0.34237084,6.5457472999999995,b,s3mini,s3mini_1,5
97791,-7.017456,4.0015410000000005,14.853943,e,nexus4,nexus4_1,3
130378,-1.4626923,-2.6523437999999997,9.788314999999999,h,nexus4,nexus4_2,0
87371,2.2041016,2.3448029,9.174377,e,nexus4,nexus4_1,0
120173,-11.185571000000001,-2.298405,8.121031,a,samsungold,samsungold_1,3
86820,3.524221,0.4596810000000001,9.500074,e,samsungold,samsungold_2,1
123774,-1.5769501,0.6801758000000001,8.568375,d,nexus4,nexus4_2,0
10032,-1.7437439,-1.2471771,7.039184599999999,d,nexus4,nexus4_1,3
53147,-2.5100555,-0.7861328000000001,7.068741,e,nexus4,nexus4_2,5
27812,-5.774814599999999,0.075417355,7.171831,g,s3mini,s3mini_1,5
70973,1.6780396,1.0034637,9.807556,e,nexus4,nexus4_1,0
53278,-0.98542786,-1.34552,9.890671000000001,c,nexus4,nexus4_2,1
13957,-6.282307,1.225816,19.45983,b,samsungold,samsungold_2,2
14231,-2.6479871,-0.7326256999999999,5.864597,f,s3mini,s3mini_2,3
30739,-3.9846953999999997,-0.33148193,7.522201499999999,c,nexus4,nexus4_2,2
63735,-4.195526,0.50120544,6.3524475,h,nexus4,nexus4_1,5
57887,9.279925,1.1492168,3.5146879999999996,b,s3,s3_1,1
43792,4.4356995,1.4438323999999998,9.098206,g,nexus4,nexus4_1,1
83164,-4.2429657,-2.75589,7.4317474,h,nexus4,nexus4_2,3
107102,-11.997345,4.250905,10.869676,h,s3mini,s3mini_1,3
113757,1.9388580000000002,-2.3726501,8.648117,e,nexus4,nexus4_2,0
72929,3.9456443999999995,0.29688102,8.628703,e,s3,s3_2,1
70476,-10.572795,-6.167464,13.292608,b,s3,s3_1,5
94904,0.2777274,-0.23942018,9.720459,a,s3,s3_1,1
120538,-5.24646,-1.7672881999999999,11.123901,g,nexus4,nexus4_1,5
81116,3.8714242,-1.376666,8.494628,c,s3mini,s3mini_1,0
105598,-2.5773582000000004,2.0422540000000002,9.812635,f,s3mini,s3mini_1,5
132902,-9.107543,-2.6623523,8.954314,c,s3,s3_1,2
40381,-2.0590134,1.5801731,5.783194,h,s3mini,s3mini_1,5
45086,-2.758086,-0.153227,6.895214999999999,g,samsungold,samsungold_1,5
76892,1.8077698,0.16914368,13.118651999999999,f,nexus4,nexus4_1,5
21590,3.217767,0.4596810000000001,9.500074,d,samsungold,samsungold_2,1
120894,0.60333884,1.2066777,10.726024,e,s3,s3_2,0
96632,0.029800415,-1.2526855,9.724045,f,nexus4,nexus4_2,3
134277,-3.2003632,0.13269043,8.305344,g,nexus4,nexus4_2,2
47045,-6.12908,-0.153227,7.5081229999999985,a,samsungold,samsungold_1,4
95975,0.12449849,3.3423057000000003,10.103531,e,s3,s3_2,3
123956,4.652481,0.88964844,8.648117,g,nexus4,nexus4_2,1
121328,-6.5009155,-0.028427123999999998,10.559753,d,nexus4,nexus4_1,3
102429,-2.9400797,0.0,9.308656,e,s3,s3_1,4
70673,-3.370994,0.9193620000000001,9.959755,c,samsungold,samsungold_1,0
19647,-0.615448,-1.3245392,10.057495,c,nexus4,nexus4_1,1
123456,-5.8226260000000005,0.766135,7.5081229999999985,a,samsungold,samsungold_1,4
33781,-7.038953,-3.964798000000002,10.524911,h,s3,s3_1,5
89158,-2.6778717,-0.23983765,9.302719,d,nexus4,nexus4_2,4
123667,9.341812,0.09698486,3.3779755,b,nexus4,nexus4_2,1
119838,3.8211459999999997,0.30645782,8.695741,e,s3,s3_2,1
5658,-3.3528748,2.2864838,10.113434,a,nexus4,nexus4_1,0
88238,-3.8275910000000004,-0.70162964,10.364365,e,nexus4,nexus4_2,3
20596,-3.4955344,1.8100165000000001,8.963891,d,s3,s3_1,5
40485,-7.690175999999999,4.596867,10.103531,h,s3,s3_1,5
1189,0.766135,-1.8387240000000002,8.274258,e,samsungold,samsungold_1,5
27826,2.1768951000000003,-1.1800841999999998,11.653336,e,nexus4,nexus4_2,0
83928,-7.5081229999999985,1.8387240000000002,13.177522,e,samsungold,samsungold_2,2
12576,-1.3426513999999998,2.8672942999999997,6.554778999999999,f,nexus4,nexus4_1,0
12950,-4.794021599999999,1.7751465,8.364853,h,nexus4,nexus4_2,4
39118,-0.8080901999999999,-1.7025756999999997,9.684769000000001,c,nexus4,nexus4_2,1
29828,-3.3806129,-1.6089035,9.011775,b,s3,s3_2,0
117834,5.2385135,-0.08499416,8.781932000000001,a,s3mini,s3mini_1,0
91442,-0.40222588,1.6280571000000001,7.632714999999999,b,s3,s3_2,0
9030,-1.5699768,2.883957,12.922272,g,nexus4,nexus4_1,0
126921,0.9193620000000001,1.379043,9.806528,c,samsungold,samsungold_2,1
113642,3.9334412000000003,-0.23194885,9.580231,e,nexus4,nexus4_1,1
30170,-6.08197,-2.0838776,5.7882996,c,nexus4,nexus4_1,5
95112,-4.2941437,1.239563,8.683823,h,nexus4,nexus4_2,4
46847,-0.13407529999999998,0.93852705,7.278373200000001,i,s3,s3_1,5
121584,-2.8155810000000003,1.6567876,9.002198,f,s3,s3_2,0
7104,-0.63687134,-0.11769104,10.064636,f,nexus4,nexus4_1,0
7820,-2.3912047999999997,-2.1148224,9.505249000000001,g,nexus4,nexus4_1,0
53152,0.7278373,0.89064306,7.546523599999999,i,s3,s3_2,5
67771,-2.2409727999999998,-0.80445176,9.854534,d,s3,s3_2,3
119408,-4.758483999999998,1.6687775000000002,8.4947815,h,nexus4,nexus4_1,3
94734,-3.1507695,-1.7525556,6.7133417,c,s3,s3_2,5
107928,3.8881836000000014,0.18195933,8.599973,e,s3,s3_2,1
47831,-4.7500963,3.1603463,11.84651,g,s3,s3_1,2
29595,-6.38773,0.10534488,7.3358339999999975,a,s3,s3_1,4
16831,-2.145178,-0.612908,8.580712,e,samsungold,samsungold_1,5
57015,-0.61291564,-0.02873042,9.739613,i,s3,s3_1,4
123494,-0.038208007999999995,-1.1222076,9.774231,b,nexus4,nexus4_1,0
118246,-3.7396849999999997,-2.2909697999999996,9.306488,e,nexus4,nexus4_1,3
135389,1.5506897,0.29530334,10.195557,h,nexus4,nexus4_1,1
59173,-3.4707031,2.223404,9.236267,a,nexus4,nexus4_1,0
132837,-7.3221436,-0.116500854,11.661864999999999,e,nexus4,nexus4_1,5
58925,7.5692687,-0.7781156,5.357026,a,s3mini,s3mini_1,2
10189,-0.68907166,-0.5814209,9.7478485,i,nexus4,nexus4_2,4
57961,-2.9592332999999997,-0.7374141,9.337387,c,s3,s3_1,4
49590,4.137129,1.685497,9.19362,g,samsungold,samsungold_2,1
116665,-5.774814599999999,1.5705963,6.272808599999999,c,s3,s3_2,3
2737,3.8594532,0.33518824,8.590396,e,s3,s3_2,1
39947,0.2777274,-0.47884035,9.500193,a,s3,s3_2,1
127680,-14.939163,3.4580687999999995,15.595229999999999,h,nexus4,nexus4_2,2
60744,-1.2449848999999995,-0.21068975,10.381259,i,s3,s3_2,0
32184,-0.51190186,-2.8444061,6.863036999999999,h,nexus4,nexus4_1,0
102050,-4.5777135,1.6280571000000001,9.030928999999999,b,s3,s3_2,5
10151,-8.619126,-5.21936,6.8091097000000005,h,s3,s3_2,2
21039,-2.269806,0.089401245,9.898010000000001,d,nexus4,nexus4_1,4
24627,7.201669,-0.306454,6.895214999999999,f,samsungold,samsungold_2,1
8236,-4.6918334999999995,-1.6649323,7.5378723,c,nexus4,nexus4_1,2
49650,-1.5473633,0.12748718,7.1927185,f,nexus4,nexus4_1,5
34317,-4.1134033,0.29292297,8.448364,c,nexus4,nexus4_1,2
106387,-1.1617431999999999,-2.252884,9.371948,e,nexus4,nexus4_1,5
56374,-3.06454,2.604859,3.9839019999999996,e,samsungold,samsungold_2,2
75830,0.47952269999999997,-0.48664856,10.234833,a,nexus4,nexus4_1,1
68744,-1.379043,-1.072589,11.492025,f,samsungold,samsungold_1,3
8473,0.24899697,-0.29688102,9.624691,a,s3,s3_1,1
112618,-1.53227,-0.766135,10.266209,d,samsungold,samsungold_2,0
50567,-5.9592133,6.2835693,6.197525,a,nexus4,nexus4_2,3
3337,-4.137129,-0.306454,6.741988,a,samsungold,samsungold_1,5
75497,5.2094879999999995,0.28027344,8.208938999999999,i,nexus4,nexus4_2,1
79310,1.6124948000000001,0.4213795,9.321824000000001,h,s3mini,s3mini_1,1
22173,8.776306,0.55952454,5.1194153,b,nexus4,nexus4_1,1
10178,-2.501892,-0.6401825,6.7690125,d,nexus4,nexus4_1,3
60045,-2.1363373,1.4276123,9.412216,g,nexus4,nexus4_2,4
15355,-2.604859,0.153227,9.806528,e,samsungold,samsungold_2,5
16701,-3.830675,0.4596810000000001,4.903264,h,samsungold,samsungold_1,2
6811,-1.1818084999999998,2.573761,14.127730999999999,b,nexus4,nexus4_2,5
10197,-4.0701427,1.340753,6.0046577,h,s3,s3_1,5
131957,-4.012682,2.8060042999999997,14.738706,b,s3,s3_1,2
70984,-1.3258208999999999,-0.27316284,9.828781,f,nexus4,nexus4_2,4
72734,-6.2639008,-1.5502319,8.205368,c,nexus4,nexus4_2,0
103007,7.5824365999999985,-0.107739076,5.898116,f,s3mini,s3mini_1,1
38854,-5.7545013,0.45404053,7.9340057,a,nexus4,nexus4_2,4
129611,-2.2019653,0.33338928,5.8073425,d,nexus4,nexus4_1,0
96354,-2.4612392999999995,0.641646,9.241617999999999,i,s3,s3_1,0
28632,3.7979279000000004,-0.7052001999999999,9.009933,e,nexus4,nexus4_2,1
39589,-4.4976654,-0.18865967,6.135635400000001,h,nexus4,nexus4_2,5
87586,-8.138611000000001,0.6785431,6.3726807,c,nexus4,nexus4_1,3
99708,-4.290573,0.9824828999999999,8.467209,h,nexus4,nexus4_2,5
16435,-2.116272,0.100112915,9.307678,h,nexus4,nexus4_1,0
131791,0.35098267,-0.5330658,10.3229065,a,nexus4,nexus4_1,1
108691,-2.145178,1.072589,9.500074,b,samsungold,samsungold_1,4
107233,-3.4491120000000004,-0.68496704,5.7155,h,nexus4,nexus4_2,5
116716,-1.9919758,-0.12449849,9.251195,f,s3,s3_2,4
133925,-3.9456443999999995,0.13407529999999998,5.9280434,a,s3,s3_2,3
129193,1.072589,-0.612908,10.879116999999999,e,samsungold,samsungold_1,0
64607,-1.8423615000000002,0.026763916000000002,9.522903,f,nexus4,nexus4_2,4
10020,4.573929,0.8432312,8.66954,g,nexus4,nexus4_2,1
82716,-0.4928589,2.1055756000000003,10.115814,b,nexus4,nexus4_1,4
5399,-4.495114,-0.7685388000000001,9.594764,f,s3mini,s3mini_1,5
111583,-5.6677856,-1.5054473999999998,9.564758,f,nexus4,nexus4_1,3
53180,0.82229614,-1.4447478999999999,9.825409,f,nexus4,nexus4_1,5
25027,-2.5790862999999997,0.6516113,8.0923,d,nexus4,nexus4_2,5
60512,-1.8387240000000002,1.685497,8.274258,g,samsungold,samsungold_1,5
21562,-2.423172,-1.9144287,9.953750999999999,b,nexus4,nexus4_2,0
15906,1.6353607,-2.974884,8.820694,e,nexus4,nexus4_2,0
117157,2.145178,2.604859,8.733939,e,samsungold,samsungold_1,0
79893,-1.7163696,0.306015,8.16272,f,nexus4,nexus4_1,5
44074,1.7305756,0.22433472,9.721664,h,nexus4,nexus4_2,1
84386,-2.303131,1.3617096000000002,10.430023,i,nexus4,nexus4_1,0
90449,-2.6566162,-0.91630554,12.794922,h,nexus4,nexus4_1,0
123048,-0.53315735,0.67541504,8.804031,g,nexus4,nexus4_2,2
118297,-1.3555756,-0.49572754,11.352219,i,nexus4,nexus4_2,5
43273,4.037821299999999,1.7106571,8.400057,g,s3mini,s3mini_1,1
25242,-5.1235914000000005,0.59376204,6.0046577,a,s3,s3_2,3
4204,2.4983494,-1.6112977,8.009802,c,s3mini,s3mini_1,3
63723,-2.0973208,1.2258313,6.3494230000000025,e,s3,s3_1,5
38475,-1.7429788,-0.12449849,9.835381,f,s3,s3_2,5
17656,0.42477417,-0.53544617,10.300293,a,nexus4,nexus4_1,1
51908,-0.5845031999999999,2.06987,10.038452000000001,b,nexus4,nexus4_1,4
132424,0.22026655,-0.19153613,9.730036,a,s3,s3_1,1
99113,-6.129156,3.5051112,9.950302,g,s3,s3_1,5
100308,-5.8119245,-0.30526072,4.8398786,h,s3mini,s3mini_1,2
17860,1.1890411,-2.589264,8.112534,e,nexus4,nexus4_2,0
88551,1.5709229,0.6761626999999999,10.169373,h,nexus4,nexus4_1,1
82033,5.104438,0.842759,7.8625584,i,s3,s3_2,1
18527,0.98075867,0.8277588,7.563858,g,nexus4,nexus4_2,0
77672,-3.4419708,0.6956482,7.6424103,g,nexus4,nexus4_2,3
29352,1.5792542,-1.1840973,11.167938000000001,f,nexus4,nexus4_1,5
95216,-1.9919509999999998,3.9839019999999996,13.177522,g,samsungold,samsungold_2,5
45739,-2.661209,-0.84921265,9.24202,c,nexus4,nexus4_2,4
35372,6.282307,-0.612908,7.66135,a,samsungold,samsungold_2,4
24763,-0.32742309999999997,-0.24980164,10.253876,i,nexus4,nexus4_1,4
72208,-0.77238464,0.9515380999999999,9.218216,b,nexus4,nexus4_2,0
71989,-0.48197937,0.35049438,7.525772,i,nexus4,nexus4_2,0
24059,0.46659849999999997,-2.3381347999999997,7.305588,i,nexus4,nexus4_2,5
85294,-9.998186,1.1204863999999999,8.1881695,a,s3,s3_1,3
118417,-1.072589,-0.4596810000000001,9.653300999999999,d,samsungold,samsungold_1,0
122265,7.814804,-0.70996094,6.1701508,f,nexus4,nexus4_2,1
109005,-0.47364807,-0.6492614999999999,9.658585,i,nexus4,nexus4_2,4
91834,4.59681,0.153227,9.19362,c,samsungold,samsungold_2,0
27724,-4.9320555,0.47405192,8.779537,c,s3mini,s3mini_2,0
73857,-3.217767,-1.225816,9.500074,b,samsungold,samsungold_1,0
37189,-3.2670135,-1.300293,7.5709990000000005,i,nexus4,nexus4_2,5
97261,4.021515,0.36552429999999997,9.532623,d,nexus4,nexus4_1,1
32164,8.3004,1.3062133999999999,5.087082,b,nexus4,nexus4_2,1
22573,1.541866,0.5650316,9.193734,h,s3,s3_2,1
15083,-5.975853,-0.153227,11.032344,d,samsungold,samsungold_1,2
107825,-5.975853,2.145178,9.500074,f,samsungold,samsungold_2,3
84920,4.028656,0.33576965,9.474304,d,nexus4,nexus4_1,1
85690,-1.9258422999999998,0.09416199,10.012267999999999,d,nexus4,nexus4_1,4
133809,-4.2181396,0.85588074,9.073212,h,nexus4,nexus4_1,4
113084,-4.6392975,0.112457275,8.92543,a,nexus4,nexus4_2,0
102810,10.879116999999999,2.9113130000000003,14.250110999999999,c,samsungold,samsungold_2,2
42683,-2.706604,0.05845642,9.758759,d,nexus4,nexus4_1,4
80715,-0.07493591,-0.9003905999999999,8.6766815,e,nexus4,nexus4_2,0
36718,7.405266,-0.39145198,6.0824695,f,s3mini,s3mini_1,1
76677,1.1240777,-0.7469909,9.421184,e,s3mini,s3mini_1,0
97953,-2.4459534,1.909195,8.256744,a,nexus4,nexus4_1,0
98166,1.1013328000000002,1.4556746,11.923124000000001,e,s3,s3_2,0
62930,-1.6733551,-0.30886840000000004,9.641922000000001,f,nexus4,nexus4_2,4
14455,0.9545745999999999,0.16363525,12.712601,f,nexus4,nexus4_2,5
86307,-2.3882163,0.9768343,5.7939680000000005,g,s3mini,s3mini_1,2
75823,3.1148564999999997,0.46567222,8.9124155,d,s3mini,s3mini_1,1
73428,-0.842759,0.37349546,4.9895163,i,s3,s3_1,5
122181,-6.2345014,0.81402856,7.249642999999999,a,s3,s3_2,4
20725,-3.217807,-0.7278373,9.433155000000001,c,s3,s3_1,4
126985,-0.35598755,-0.27598572,5.8132934999999994,i,nexus4,nexus4_1,5
64717,-1.7306519,1.2795868000000001,8.390044999999999,f,nexus4,nexus4_1,0
82820,-0.7914276,-0.40527344,9.680008,i,nexus4,nexus4_2,4
20690,-0.627182,-0.6492614999999999,9.739517,i,nexus4,nexus4_2,4
61546,-2.4233398,2.4685822,13.411438,e,nexus4,nexus4_1,5
18873,-2.7111970000000003,-1.2860107,9.370560000000001,c,nexus4,nexus4_2,4
124434,0.37349546,0.40222588,9.548077000000001,e,s3,s3_2,2
74626,-2.6732788,0.059646606,9.953949,d,nexus4,nexus4_1,4
88423,-2.6240451,0.12449849,5.947197,b,s3,s3_1,5
104347,-5.5892334,1.2200775,7.4545593,a,nexus4,nexus4_1,5
13130,-2.0758057,0.41551208,12.045105,f,nexus4,nexus4_1,5
76091,-0.47857666,-0.18791199,10.249115,i,nexus4,nexus4_1,4
62036,-4.445465,0.69163513,8.666167999999999,d,nexus4,nexus4_1,5
17479,-1.4983978,1.5775757,9.958511,h,nexus4,nexus4_2,0
19373,-2.0472412,1.736618,9.774231,g,nexus4,nexus4_1,4
124059,4.7752349999999995,0.62488663,8.165425,i,s3mini,s3mini_1,1
53507,-8.121031,0.4596810000000001,5.516172,d,samsungold,samsungold_2,3
72368,-2.451632,1.8387240000000002,9.346847,g,samsungold,samsungold_2,4
105767,-0.9959879,-0.076614454,9.442732000000001,i,s3,s3_2,4
131162,-3.8765563999999997,1.9508514,11.029877,e,nexus4,nexus4_1,5
59752,-0.306454,0.4596810000000001,9.040393,f,samsungold,samsungold_2,2
82214,-2.1341248,0.14772034,10.007507,d,nexus4,nexus4_1,4
78495,-10.453354,2.394043,7.57695,h,nexus4,nexus4_2,5
135847,-7.5768433,1.8722991999999998,11.766602,d,nexus4,nexus4_1,5
91567,8.009994500000001,-0.6885376,6.279648,f,nexus4,nexus4_2,1
31982,-7.056732000000001,-1.9303436,14.351685,h,nexus4,nexus4_1,2
1717,-6.435534,1.072589,9.959755,e,samsungold,samsungold_2,5
116090,-4.0509889999999995,2.3942018,4.1276035,a,s3,s3_1,2
65902,-2.9209259999999997,-1.0486604,13.059174,i,s3mini,s3mini_1,2
95242,9.373778999999999,0.569046,4.0458680000000005,b,nexus4,nexus4_1,1
60957,3.9739074999999997,0.39170837,9.483825999999999,d,nexus4,nexus4_1,1
110613,1.8674773,0.641646,7.383717999999999,e,s3,s3_2,2
